::1 - - [17/Dec/2022:16:35:50 +0800] "GET /wp-admin/?localwp_auto_login=1 HTTP/1.1" 302 -
::1 - - [17/Dec/2022:16:35:51 +0800] "GET /wp-admin/user/ HTTP/1.1" 302 -
::1 - - [17/Dec/2022:16:35:51 +0800] "POST /wp-cron.php?doing_wp_cron=1671266151.7474429607391357421875 HTTP/1.1" 200 -
::1 - - [17/Dec/2022:16:35:53 +0800] "GET / HTTP/1.1" 200 57574
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/css/admin-bar.min.css?ver=6.1.1 HTTP/1.1" 200 20300
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/css/dashicons.min.css?ver=6.1.1 HTTP/1.1" 200 59016
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.1.1 HTTP/1.1" 200 15342
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/blocks/navigation/view.min.js?ver=c24330f635f5cb9d5e0e HTTP/1.1" 200 1144
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/blocks/navigation/view-modal.min.js?ver=45f05135277abf0b0408 HTTP/1.1" 200 7779
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/admin-bar.min.js?ver=6.1.1 HTTP/1.1" 200 3537
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.1" 200 1718
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.1.1 HTTP/1.1" 200 18617
::1 - - [17/Dec/2022:16:35:51 +0800] "GET /wp-admin/ HTTP/1.1" 200 69338
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.1.1 HTTP/1.1" 200 2659
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/css/editor.min.css?ver=6.1.1 HTTP/1.1" 200 26975
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-admin/js/common.min.js?ver=6.1.1 HTTP/1.1" 200 20150
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.1" 200 9009
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/wp-util.min.js?ver=6.1.1 HTTP/1.1" 200 1426
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.1" 200 18833
::1 - - [17/Dec/2022:16:35:55 +0800] "GET /wp-includes/js/dist/dom-ready.min.js?ver=392bdd43726760d1f3ca HTTP/1.1" 200 498
::1 - - [17/Dec/2022:16:35:54 +0800] "GET /wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae HTTP/1.1" 200 10230
::1 - - [17/Dec/2022:16:35:55 +0800] "GET /wp-includes/js/api-request.min.js?ver=6.1.1 HTTP/1.1" 200 1023
::1 - - [17/Dec/2022:16:35:55 +0800] "GET /wp-admin/js/site-health.min.js?ver=6.1.1 HTTP/1.1" 200 6239
::1 - - [17/Dec/2022:16:35:55 +0800] "GET /wp-includes/js/dist/url.min.js?ver=bb0ef862199bcae73aa7 HTTP/1.1" 200 9147
